challenge,bucket1,bucket2,bucket3,bucket4,bucket5,spot1,spot2,spot3,spot4,spot5,spot6,spot7,spot8,spot9,spot10,,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10
31,0,1,3,4,0,,,,,M,B,,M,B,,,M,O,Y,O,M,B,B,M,B,Y
32,2,0,4,2,0,,,,O,O,B,M,,,,,Y,B,B,O,O,B,M,M,Y,M
33,1,1,2,1,3,,B,,O,,Y,,,O,,,B,B,M,O,B,Y,M,Y,O,M
34,0,1,3,3,1,M,,,,M,,Y,,,M,,M,O,Y,B,M,B,Y,O,B,M
35,2,0,3,1,2,,B,M,O,,,,,B,,,Y,B,M,O,B,M,Y,M,B,O
36,1,2,1,2,2,B,M,,,Y,,,,B,,,B,M,B,Y,Y,M,O,M,B,O
37,1,2,2,2,1,,,O,O,,,M,,,M,,B,Y,O,O,Y,B,M,M,B,M
38,0,3,0,5,0,,M,B,,,,Y,,,,,O,M,B,M,B,O,Y,M,B,Y
39,0,1,5,0,2,,,,Y,,B,B,,,,,M,O,Y,Y,M,B,B,M,B,O
40,0,2,1,4,1,,,O,Y,,O,,,,,,M,M,O,Y,Y,O,B,M,B,B
41,0,1,4,3,0,,,O,,,B,,,,M,,M,M,O,Y,O,B,B,B,Y,M
42,1,2,0,2,3,,,B,,,M,,,M,,,B,Y,B,O,Y,M,O,B,M,M
43,0,2,2,3,1,,,,,O,M,,,,M,,O,B,B,Y,O,M,Y,M,B,M
44,1,2,3,0,2,,,Y,,M,,,,M,,,B,M,Y,B,M,O,B,Y,M,O
45,2,0,2,2,2,,B,,,,O,,,,O,,Y,B,B,Y,M,O,B,M,M,O
46,1,2,2,2,1,,B,,,,M,,,M,,,B,B,O,O,Y,M,M,Y,M,B
47,0,1,5,1,1,,,,,,,,Y,B,,,M,M,O,Y,O,M,B,Y,B,B
48,0,1,5,1,1,,,,Y,,,,,O,,,M,O,Y,Y,M,B,M,B,O,B
49,0,1,3,4,0,,,,,,,,B,,M,,M,O,Y,B,M,B,O,B,Y,M
50,0,1,4,1,2,,,,,,B,,,,O,,M,O,Y,Y,M,B,B,B,M,O
51,1,2,0,2,3,,B,,,B,,,,,,,M,B,Y,O,B,Y,O,B,M,M
52,0,2,2,3,1,,,,,,O,,,M,,,O,B,B,Y,M,O,Y,M,M,B
53,1,0,3,2,2,,,Y,,,,,,B,,,B,O,Y,M,M,B,Y,M,B,O
54,2,2,0,2,2,,,O,,M,,,,,,,Y,B,O,B,M,M,Y,M,B,O
55,0,2,1,5,0,,,,,,,,,,M,,O,B,B,Y,M,M,B,O,Y,M
56,2,0,5,0,1,,,,,,,Y,,,,,Y,B,B,O,O,M,Y,M,M,B
57,0,3,0,4,1,,,,,,Y,,,,,,M,M,M,O,Y,Y,O,B,B,B
58,2,1,4,1,0,,,,B,,,,,,,,M,Y,B,B,O,Y,O,M,Y,M
59,1,1,3,0,3,,,,,,,,B,,,,M,B,Y,Y,M,M,B,B,O,O
60,2,0,1,3,2,,,,,O,,,,,,,Y,B,B,Y,O,M,B,M,O,M
61,2,1,3,2,0,,,,,,,,O,,,,Y,B,B,O,B,M,Y,O,M,M
62,2,2,2,0,2,,,,,,,,O,,,,M,M,Y,B,B,M,Y,O,B,O
63,2,4,0,0,2,,,,,,,,,,,,M,Y,B,O,M,M,Y,B,B,O
64,2,2,3,1,0,,,,,,,,,,,,Y,B,O,B,M,B,O,M,Y,M
